Place,Months,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,first,second,third
Davao,Jan,3.5,5.5,5.5,3,3.25,5,5.25,3.75,4.25,2.75,3.25,4,3,2.5,4,4.5,4,3.5,2.75,2.5,4,2.75,4.25,4.25,4.75,3.5,2.5,2.75,4,3.5,3.5,41.75,34,39.75
Davao,Feb,2,4,2.75,2.75,2.25,3.75,5.5,3.75,2,4,2.5,2.25,5.5,4.25,2.75,2.25,3.25,2.25,4.25,3.5,4.25,2.25,3.75,3.25,4,3,2.5,4.5,5,0,0,32.75,32.75,32.5
Davao,Mar,4.5,4.75,3,2.75,4.25,4.25,3.75,3.75,2,2.5,2,2.75,2.75,2.25,3,2.25,3.5,4.25,2.5,2.75,3.25,2.75,3.25,5.25,2.5,3.75,3.25,5,3,3.5,2.75,35.5,28,38.25
Davao,Apr,4.25,3.25,2.667,2.75,2.25,2.75,2.75,3.75,4.25,2.25,3.25,3.75,3.5,3.5,3.5,2.5,2.25,2.5,4.25,3.5,3.25,2.75,2.5,2,4,4.5,3,4.5,4,0,0,30.917,32.5,30.5
Davao,May,4.5,5,5,2.75,2.5,3,2,4,2,5.75,3.5,4.75,5.75,8,2.75,2.5,5,3.25,6.5,4,3.25,3.25,4.25,2.5,2.25,3.75,4.25,7.5,2,4.75,2.75,36.5,46,40.5
Davao,Jun,2.75,4.75,6.75,5,3.75,5.75,6.75,5.25,5,4,4.25,4.25,2.667,5.5,3.25,4.25,3.5,4.5,2,3.75,2.25,2.25,3.5,2.75,3.75,3.25,5,3.5,4.5,2.75,0,49.75,37.917,33.5
Davao,Jul,7.5,4.3333333,3.5,3,3,3.75,4.5,3.25,2.5,5,2.75,2.5,3,4.75,3.25,2.5,3,2.25,3.25,3,2.75,5.5,3.75,3.25,2.75,4.5,3.3333333,4,4.5,6.25,5.75,40.3333333,30.25,46.3333333
Davao,Aug,4.25,4.5,4.5,5.25,4.25,5,5.5,5,4.25,5,4,4.75,4.75,3,2.25,4.25,4.5,5.5,4.25,3.25,2.75,5.5,3,3.5,2.75,2.5,6.25,3,3.5,6.5,4,47.5,40.5,43.25
Davao,Sep,3.5,3.75,2.5,2.25,3.5,2.75,4.5,2.25,4.25,3.5,2.75,2,3.25,5.25,6,8.5,6.75,4.25,2.75,3.5,3,3,5,6.75,2.75,4.5,5,2.5,7.5,3.5,0,32.75,45,43.5
Davao,Oct,4,5,4,3.5,3.25,5.75,6,5,3.25,3.75,4,3.5,6.25,6,3.75,3.25,5.5,4.5,5,4,3.75,5.75,5.25,3.5,4.5,4.25,5,5.5,4.75,3.25,4.5,43.5,45.75,50
Davao,Nov,4.5,4.25,3.25,2.75,3.75,4.5,2.75,3.25,2.25,5,4,4,3.25,2.25,2.5,3.5,3.75,2.75,2.75,4,2,2.5,2.25,5.75,5.5,2.5,5.5,3.25,2,2.5,0,36.25,32.75,33.75
Davao,Dec,4.5,4.5,4.25,6,4,5,5.5,3.75,2.75,2.5,3.5,3,3.75,3.75,5,4.25,5,5.5,4.5,3.5,4,2.75,2.75,3,4,4,4.25,6.5,4.75,4,3.75,42.75,41.75,43.75
